Company Name,Website URL,Description,Corporate Office Address
Avila Energy Corporation,https://avilaenergy.com/,"Avila Energy Corporation is an emerging oil and gas producer, explorer and developer with operations in Western Canada. The company operates 100% owned and operated conventional oil and gas assets primarily in Alberta. Avila is listed on the Canadian Securities Exchange under the symbol VIK.","500 4th Avenue SW, Suite 2500, Calgary, Alberta T2P 3K2, Canada"
Barnwell Industries Inc.,https://brninc.com/,"Barnwell Industries Inc. is a diversified company engaged in oil and gas exploration, development, production and sales in Canada. The company's Canadian operations are handled exclusively through its subsidiaries Barnwell of Canada Limited and Octavian Oil Limited. Barnwell has operated in the energy sector for over 65 years with a focus on innovation and excellence.","500 – 4th Avenue S.W., Suite 2410, Calgary, Alberta T2P 2V6, Canada"
Baytex Energy Corp.,https://www.baytexenergy.com/,"Baytex Energy Corp. is a Canadian oil and gas company with operations in the Western Canadian Sedimentary Basin and the Eagle Ford formation in Texas. The company focuses on growing production, reserves and cash flow through exploitation and exploration activities. Baytex emphasizes safe, responsible operations and community engagement.","Centennial Place, East Tower, 2800, 520 - 3rd Avenue SW, Calgary, Alberta T2P 0R3, Canada"
Bengal Energy Ltd.,https://bengalenergy.ca/,"Bengal Energy Ltd. is an international junior oil and gas exploration company with operations in Australia. The company focuses on conventional oil and gas exploration and development projects. Bengal maintains offices in both Calgary, Canada and Brisbane, Australia.","Suite 640, 630 6th Avenue SW, Calgary, Alberta T2P 0S8, Canada"
Birchcliff Energy Ltd.,https://www.birchcliffenergy.com/,"Birchcliff Energy Ltd. is an intermediate oil and natural gas company focused on the Montney/Doig resource play in the Peace River Arch of Alberta. The company is engaged in exploring for, developing and producing natural gas, light crude oil, and natural gas liquids. Birchcliff is committed to creating long-term shareholder value through operational excellence and sustainable development.","Suite 1000, 600 - 3rd Avenue SW, Calgary, Alberta T2P 0G5, Canada"
Blacksteel Energy Inc.,https://www.blacksteelenergy.com/,"Blacksteel Energy Inc. is a Canadian oil and gas exploration and production company. The company focuses on developing oil and gas assets in Western Canada. Blacksteel is engaged in acquisition, development, and production of petroleum and natural gas resources.","840 Sixth Avenue SW, Suite 220, Calgary, Alberta T2P 3E5, Canada"
Bonterra Energy Corp.,https://bonterraenergy.com/,"Bonterra Energy Corp. is one of Canada's longest standing junior oil and gas companies with operations primarily in the Pembina Cardium, Charlie Lake, and Montney formations. The company features top-tier operations with a track record of returning capital to shareholders. Bonterra focuses on sustainable growth through efficient development of high-quality assets in Alberta and British Columbia.","Suite 2500, 525 – 8th Avenue SW, Calgary, Alberta T2P 1G1, Canada"
Canacol Energy Ltd.,https://canacolenergy.com/,"Canacol Energy Ltd. is a leading natural gas exploration and production company focused on Colombia. The company is one of the largest suppliers of natural gas to the Colombian market, producing approximately 17% of the country's domestic natural gas supply. Canacol is headquartered in Calgary with operations based in Bogotá, Colombia.","Suite 2000, 215 - 9th Avenue SW, Calgary, Alberta T2P 1K3, Canada"
Canadian Natural Resources Limited,https://www.cnrl.com/,"Canadian Natural Resources Limited is one of the largest independent crude oil and natural gas producers in the world. The company develops and produces crude oil, natural gas liquids and natural gas across Western Canada, the UK North Sea and Offshore Africa. Canadian Natural is committed to operational excellence, environmental stewardship and providing energy that improves quality of life.","2100, 855 - 2nd Street SW, Calgary, Alberta T2P 4J8, Canada"
Canadian Spirit Resources Inc.,https://www.csri.ca/,Canadian Spirit Resources Inc. is a Canadian public company focused on the exploration and production of natural gas in the Montney Formation of northeast British Columbia. The company operates conventional oil and natural gas assets in Western Canada. CSRI is managed by Sproule Asset Management Limited.,"c/o Sproule Asset Management Limited, 900, 140 4th Avenue SW, Calgary, Alberta T2P 3N3, Canada"
CanAsia Energy Corp.,https://canasiacorp.com/,"CanAsia Energy Corp. is a Canadian publicly listed junior oil and gas company based in Calgary, Alberta. The company focuses on oil and gas exploration and production operations in Western Canada. CanAsia is listed on the TSX Venture Exchange under the ticker symbol CEC.","Suite 1505, 505 - 3rd Street SW, Calgary, Alberta T2P 3E6, Canada"
Capitan Investment Ltd.,https://www.capitaninvestment.com/,"Capitan Investment Ltd. (formerly Sahara Energy Ltd.) is a publicly traded investment company focused on oil and gas exploration and production. The company is headquartered in Calgary, Canada, with offices in New York. Capitan focuses on acquisition, exploration, exploitation and development of oil and gas properties.","444 - 7th Avenue SW, Calgary, Alberta T2P 0X8, Canada"
Cardinal Energy Ltd.,https://cardinalenergy.ca/,"Cardinal Energy Ltd. is a Canadian oil-focused exploration and production company with operations in Western Canada. The company's assets are primarily located in Alberta and Saskatchewan, focusing on light and medium gravity crude oil. Cardinal is committed to sustainable development and shareholder value creation.","600, 400 – 3rd Avenue SW, Calgary, Alberta T2P 4H2, Canada"
Cavvy Energy Ltd.,https://www.cavvyenergy.com/,Cavvy Energy Ltd. (formerly Pieridae Energy) is a major producer and custom processor of natural gas from Alberta's Foothills and northeast British Columbia. The company has a strong base of hydrocarbon assets with long-life and low-decline thermal oil assets. Cavvy focuses on responsible energy development and processing operations.,"Suite 1100, 411 - 1st Street SE, Calgary, Alberta T2G 4Y5, Canada"
Cenovus Energy Inc.,https://www.cenovus.com/,"Cenovus Energy Inc. is a Canadian integrated oil and natural gas company headquartered in Calgary. The company is engaged in oil sands production, conventional oil and natural gas production, and refining operations across Canada and the United States. Cenovus is committed to operational excellence, innovation, and environmental stewardship.","225 - 6th Avenue SW, P.O. Box 766, Calgary, Alberta T2P 0M5, Canada"
Centaurus Energy Inc.,https://ctaurus.com/,Centaurus Energy Inc. (formerly Madalena Energy Inc.) is a Canadian exploration and development company. The company has transitioned from oil and gas exploration to focus on managing proceeds from overriding royalty interests. Centaurus is listed on the TSX Venture Exchange under the symbol CTA.,"333 - 7th Avenue SW, Suite 1600, Dome Tower, Calgary, Alberta T2P 2Z1, Canada"
CGX Energy Inc.,https://cgxenergy.com/,"CGX Energy Inc. is an oil and gas exploration company with three licenses in the Guyana-Suriname Basin. The company is based in Toronto, Ontario and focuses on deep water exploration opportunities offshore Guyana. CGX is committed to responsible exploration and development in the region.","333 Bay Street, Suite 2400, Toronto, Ontario M5H 2T6, Canada"
Claren Energy Corp.,https://www.clarenenergy.com/,Claren Energy Corp. is a Canadian energy company engaged in oil and gas exploration and development. The company focuses on acquiring and developing petroleum and natural gas properties in Western Canada. Claren is listed on the TSX Venture Exchange.,"1199 West Hastings Street, Suite 1100, Vancouver, BC V6E 3T5, Canada"
Cobra Venture Corporation,https://www.cobraventure.com/,"Cobra Venture Corporation is a Canadian oil and gas development company focused on conventional crude oil exploration, development, and production. The company operates petroleum and natural gas interests in Western Canada with projects in both Canada and the USA. Cobra focuses on strategic acquisitions and efficient operations.","Suite 1920, 215 - 9th Avenue SW, Calgary, Alberta T2P 1K3, Canada"
Coelacanth Energy Inc.,https://www.coelacanth.ca/,Coelacanth Energy Inc. is a Montney-focused oil and natural gas exploration and development company. The company's mineral acreage is located in the Two Rivers area of northeastern British Columbia. Coelacanth emphasizes responsible social and environmental stewardship while pursuing profitable returns.,"2110, 530 - 8th Avenue SW, Calgary, Alberta T2P 3S8, Canada"
Condor Energies Inc.,https://condorenergies.ca/,"Condor Energies Inc. is a TSX-listed energy developer with diverse initiatives in Central Asia. The company is the largest TSX-listed energy developer with interests in Kazakhstan, Turkey and Uzbekistan. Condor focuses on exploring and developing oil and gas resources in these strategic regions.","Suite 1810, 500 - 4th Avenue SW, Calgary, Alberta T2P 2V6, Canada"
Criterium Energy Ltd.,https://criteriumenergy.com/,"Criterium Energy Ltd. is an independent upstream energy company focused on building a high-quality, self-funding portfolio of undercapitalized energy assets. The company targets opportunities in the world's fastest-growing economies. Criterium operates in Indonesia and Canada with a focus on value creation.","1120, 202 - 6th Avenue SW, Bow Valley Square Tower 1, Calgary, Alberta T2P 2R9, Canada"
Crown Point Energy Inc.,https://crownpointenergy.com/,Crown Point Energy Inc. is a Calgary-based junior international oil and gas company with production and exploration assets in South America. The company has cash flow from production and a portfolio of development opportunities in Argentina. Crown Point focuses on conventional oil and gas development.,"PO Box 1562, Station M, Calgary, Alberta T2P 3B9, Canada"
Decimus Oil Corp.,https://decimusoil.com/,"Decimus Oil Corp. is a Canadian oil and gas exploration company focused on unlocking the hydrocarbon potential in the Mannville Formation. The company operates in Southern Alberta, exploring and developing oil and gas resources in the Western Canadian Sedimentary Basin. Decimus is committed to responsible resource development.","639 - 5th Avenue SW, Suite 1250, Calgary, Alberta T2P 0M9, Canada"
Eco (Atlantic) Oil & Gas Ltd.,https://www.ecooilandgas.com/,"Eco (Atlantic) Oil & Gas Ltd. is an oil and gas exploration company focused on the acquisition and development of unique upstream petroleum opportunities. The company operates in Namibia, Guyana, and Ghana with a focus on high-impact exploration prospects. Eco Atlantic is incorporated in Canada with offices in Toronto.","7 Coulson Avenue, Toronto, Ontario M4V 1Y3, Canada"
Falcon Oil & Gas Ltd.,https://falconoilandgas.com/,"Falcon Oil & Gas Ltd. is an international oil and gas company engaged in the exploration and development of unconventional oil and gas assets. The company has operations in Australia, South Africa, and Hungary. Falcon is incorporated in British Columbia and focuses on developing large-scale unconventional resources.","1200 Waterfront Centre, 200 Burrard Street, Vancouver, BC V7X 1T2, Canada"
Fiddlehead Resources Corp.,https://www.fiddleheadresources.com/,"Fiddlehead Resources Corp. is an upstream energy producer operating in the Western Canadian Sedimentary Basin. The company focuses on sustainable growth through development of high-quality hydrocarbon assets in Central Alberta's Peace River oil field. Fiddlehead specializes in oil and gas exploration, development and production.","1200, 715 - 5th Avenue SW, Calgary, Alberta T2P 2X6, Canada"
First Helium Inc.,https://www.firsthelium.com/,"First Helium Inc. is a Canadian helium exploration and development company focused on developing a premier helium project in Alberta. The company's Worsley project covers 53,000 acres with multi-zone drilling opportunities for helium, natural gas and oil. First Helium is committed to environmental and operational excellence.","Suite 1810, 840 - 7th Avenue SW, Calgary, Alberta T2P 3G2, Canada"
Freehold Royalties Ltd.,https://freeholdroyalties.com/,Freehold Royalties Ltd. manages one of the largest non-government portfolios of oil and natural gas royalties in Canada with a sizeable land base in the US. The company acquires and manages oil and gas royalties and other mineral interests. Freehold provides investors with exposure to oil and gas production without operational responsibilities.,"Suite 1000, 517 - 10th Avenue SW, Calgary, Alberta T2R 0A8, Canada"
Frontera Energy Corporation,https://www.fronteraenergy.ca/,"Frontera Energy Corporation is a Canadian public company dedicated to the exploration, development, production, transportation, storage, and sale of oil and natural gas in South America. The company operates primarily in Colombia and has operations in Ecuador and Guyana. Frontera is committed to the highest standards of corporate governance and environmental responsibility.","1030, 140 - 4th Avenue SW, Calgary, Alberta T2P 3N3, Canada"
Gran Tierra Energy Inc.,https://www.grantierra.com/,Gran Tierra Energy Inc. is an independent international energy company focused on oil and natural gas exploration and production in Colombia and Ecuador. The company is based in Calgary with operations in South America. Gran Tierra emphasizes operational excellence and sustainable development while delivering value to stakeholders.,"500 Centre Street SE, Calgary, Alberta T2G 1A6, Canada"
Greenfire Resources Ltd.,https://www.greenfireres.com/,"Greenfire Resources Ltd. is an oil sands producer actively developing its long-life and low-decline thermal oil assets in the Athabasca region of Alberta, Canada. The company focuses on sustainable and responsible development of oil sands resources. Greenfire utilizes steam-assisted gravity drainage (SAGD) technology for efficient resource extraction.","Suite 1200, 215 - 9th Avenue SW, Calgary, Alberta T2P 1K3, Canada"
Headwater Exploration Inc.,https://headwaterexp.com/,"Headwater Exploration Inc. is a Canadian oil and gas exploration and development company focused on superior returns, sustainability, and balance sheet strength. The company develops repeatable, predictable and economic long-life resource plays in Western Canada. Headwater emphasizes value-driven energy development and shareholder returns.","Unit 1400, 215 - 9th Avenue SW, Calgary, Alberta T2P 1K3, Canada"
Hemisphere Energy Corporation,https://www.hemisphereenergy.ca/,"Hemisphere Energy Corporation is a dividend-paying Canadian oil company focused on maximizing value per share growth. The company has a geographically focused, long-life reserve base from Canadian assets providing years of sustainable cash flow. Hemisphere emphasizes operational efficiency and disciplined capital allocation.","Suite 200, 70 York Street, Toronto, Ontario M5J 1S9, Canada"
Imperial Oil Limited,https://www.imperialoil.ca/,"Imperial Oil Limited is a major Canadian oil and gas producer and refiner headquartered in Calgary. The company produces high-quality fuels, lubricants and chemical products marketed under the Esso and Mobil brands. Imperial Oil has operations across Canada including oil sands, conventional oil and gas, and downstream refining and marketing.","505 Quarry Park Boulevard SE, Calgary, Alberta T2C 5N1, Canada"
InPlay Oil Corp.,https://www.inplayoil.com/,"InPlay Oil Corp. is a growth-oriented light oil development and production company based in Calgary, Alberta. The company's activity is focused on large oil in place resource plays in the Alberta Deep Basin. InPlay emphasizes operational excellence and creating shareholder value through strategic development.","Suite 2500, 715 - 5th Avenue SW, Calgary, Alberta T2P 2X6, Canada"
International Petroleum Corporation,https://www.international-petroleum.com/,"International Petroleum Corporation (IPC) is an international oil and gas exploration and production company with a high-quality portfolio of assets located in Canada, Malaysia and France. The company focuses on low-risk, high-return opportunities. IPC is committed to responsible operations and environmental stewardship.","Suite 900, 215 - 9th Avenue SW, Calgary, Alberta T2P 1K3, Canada"
Jericho Energy Ventures Inc.,https://www.jerichoenergyventures.com/,Jericho Energy Ventures Inc. is a Canadian company focused on energy innovation and technology. The company combines proven energy assets with emerging technologies for AI infrastructure and energy transition. Jericho is based in Vancouver and focuses on strategic energy investments and development.,"1055 West Georgia Street, Suite 2100, PO Box 11110, Vancouver, BC V6E 3P3, Canada"
Journey Energy Inc.,https://www.journeyenergy.ca/,"Journey Energy Inc. is a Canadian exploration and production company focused on conventional, oil-weighted operations in Alberta, Canada. The company's strategy emphasizes creating long-term value through the development of undercapitalized assets. Journey focuses on operational efficiency and sustainable growth.","Suite 700, Centre 10, 517 - 10th Avenue SW, Calgary, Alberta T2R 0A8, Canada"
Jura Energy Corporation,https://juraenergy.com/,"Jura Energy Corporation is an international independent upstream oil and gas company listed on the TSX Venture Exchange under the symbol JEC. The company operates in Pakistan with a focus on exploration, development and production activities. Jura Energy is headquartered in Calgary with operations in Islamabad.","Suite 2100, 144 - 4th Avenue SW, Calgary, Alberta T2P 3N4, Canada"
Kelt Exploration Ltd.,https://keltexploration.com/,Kelt Exploration Ltd. is a Calgary-based oil and gas exploration and production company focused on multi-zone hydrocarbon potential in Western Canada. The company's aim is to achieve profitable growth by generating exploration and development plays. Kelt operates primarily in the Peace River Arch and Wembley areas of Alberta.,"Suite 300, East Tower, 311 - 6th Avenue SW, Calgary, Alberta T2P 3H2, Canada"
Kiwetinohk Energy Corp.,https://kiwetinohk.com/,"Kiwetinohk Energy Corp. is an integrated energy transition company focused on production of low carbon/carbon free energy. The company's vertically integrated business model pairs natural gas production with power generation, both natural gas-fired and renewable. Kiwetinohk operates in Alberta with a focus on sustainable energy development.","1700, 250 - 2nd Street SW, Calgary, Alberta T2P 0C1, Canada"
Lycos Energy Inc.,https://lycosenergy.com/,"Lycos Energy Inc. is an exploration, development and production company taking a bold and disruptive approach to acquisition and development of overlooked, oil-weighted assets. The company focuses on the Clearwater play in Alberta and Saskatchewan. Lycos is committed to operational excellence and responsible resource development.","Suite 1900, 215 - 2nd Street SW, Calgary, Alberta T2P 1M4, Canada"
NuVista Energy Ltd.,https://nvaenergy.com/,"NuVista Energy Ltd. is an intermediate oil and natural gas company focused on the condensate-rich Montney formation in the Alberta Deep Basin. The company is engaged in the business of exploring for, developing and producing oil and natural gas reserves. NuVista emphasizes delivering maximum shareholder value through operational excellence.","2500, 525 - 8th Avenue SW, Calgary, Alberta T2P 1G1, Canada"
Obsidian Energy Ltd.,https://obsidianenergy.com/,"Obsidian Energy Ltd. is an intermediate-sized oil and gas producer with a well-balanced portfolio of high-quality assets focused in Alberta, Canada. The company operates primarily in the Peace River, Willesden Green, Pembina and Cardium areas. Obsidian focuses on operational excellence, financial discipline and sustainable growth.","Suite 200, 207 - 9th Avenue SW, Calgary, Alberta T2P 1K3, Canada"
Paramount Resources Ltd.,https://www.paramountres.com/,"Paramount Resources Ltd. is an independent, publicly traded Canadian energy company that explores for and develops both conventional and unconventional petroleum and natural gas reserves in Western Canada. The company is focused on the Montney and Duvernay formations in Alberta and British Columbia. Paramount emphasizes long-term value creation and operational excellence.","Suite 2800, 421 - 7th Avenue SW, Calgary, Alberta T2P 4K9, Canada"
Parex Resources Inc.,https://www.parexresources.com/,"Parex Resources Inc. is a Colombia-focused oil and gas producer responsibly developing resources needed to fuel social and economic development. The company is headquartered in Calgary with operations in Bogotá, Colombia. Parex is committed to operational excellence, environmental stewardship and community engagement.","2700 Eighth Avenue Place, West Tower, 585 - 8th Avenue SW, Calgary, Alberta T2P 1G1, Canada"
Petrus Resources Ltd.,https://www.petrusresources.com/,"Petrus Resources Ltd. is a Canadian energy company active in property exploitation, strategic acquisitions and risk-managed exploration in Alberta. The company focuses on high-quality assets in the Deep Basin and Foothills regions. Petrus emphasizes operational efficiency and creating value for shareholders.","Suite 1110, 240 - 4th Avenue SW, Calgary, Alberta T2P 4H4, Canada"
PetroTal Corp.,https://petrotalcorp.com/,"PetroTal Corp. is a publicly traded, tri-quoted oil and gas development and production company domiciled in Calgary, Alberta, Canada. The company operates in Peru with a focus on conventional oil development in the Maranon Basin. PetroTal is committed to responsible operations and community engagement.","4300 Bankers Hall West, 888 - 3rd Street SW, Calgary, Alberta T2P 5C5, Canada"
Peyto Exploration & Development Corp.,https://www.peyto.com/,Peyto Exploration & Development Corp. is an explorer and producer of unconventional natural gas in Alberta's Deep Basin. The company has an industry-leading cost structure with a focus on profitability and operational efficiency. Peyto emphasizes natural gas development and production with strategic infrastructure investments.,"Suite 300, 600 - 3rd Avenue SW, Calgary, Alberta T2P 0G5, Canada"
Pine Cliff Energy Ltd.,https://www.pinecliffenergy.com/,"Pine Cliff Energy Ltd. is a Canadian natural gas and oil producing company that has grown from 100 barrels of oil equivalent per day in 2012 to become a significant producer (79% natural gas weighted). The company focuses on consistent and long-term energy production. Pine Cliff is actively engaged in exploration, development and production of natural gas, crude oil and natural gas liquids.","Suite 850, 1015 - 4th Street SW, Calgary, Alberta T2R 1J4, Canada"
PrairieSky Royalty Ltd.,https://www.prairiesky.com/,PrairieSky Royalty Ltd. is a pure-play royalty company and the largest fee simple mineral title land owner in Western Canada with approximately 9.8 million acres. The company generates royalty revenues as petroleum and natural gas are produced from its lands. PrairieSky provides investors with oil and gas production exposure without operational responsibilities or capital requirements.,"Suite 1700, 350 - 7th Avenue SW, Calgary, Alberta T2P 3N9, Canada"
Saturn Oil & Gas Inc.,https://saturnoil.com/,"Saturn Oil & Gas Inc. is one of Canada's fastest-growing energy companies committed to responsible development of high-quality, light oil assets. The company focuses on sustainable development of diversified, high-quality, light oil weighted asset base in Saskatchewan and Alberta. Saturn emphasizes operational efficiency and value creation.","Suite 2800, 525 - 8th Avenue SW, Calgary, Alberta T2P 1G1, Canada"
Source Rock Royalties Ltd.,https://www.sourcerockroyalties.com/,"Source Rock Royalties Ltd. is a pure-play oil and gas royalty company with an existing portfolio of oil royalties in southeast Saskatchewan, central Alberta and west-central Saskatchewan. The company receives top-line oil and gas revenue without exposure to drilling, operating or abandonment costs. Source Rock focuses on prudent, repeatable, scalable and sustainable royalty acquisitions.","30th Floor, 421 - 7th Avenue SW, Calgary, Alberta T2P 4K9, Canada"
Spartan Delta Corp.,https://www.spartandeltacorp.com/,Spartan Delta Corp. is a Canadian oil and gas exploration and production company focused on high-quality assets in Western Canada. The company emphasizes operational excellence and sustainable development. Spartan Delta operates primarily in the Deep Basin and Montney formations with a focus on natural gas and liquids production.,"Suite 1400, First Canadian Centre, 350 - 7th Avenue SW, Calgary, Alberta T2P 3N9, Canada"
Strathcona Resources Ltd.,https://www.strathconaresources.com/,"Strathcona Resources Ltd. is one of North America's fastest-growing pure play heavy oil producers headquartered in Calgary, Alberta. The company is a major thermal oil producer in the Cold Lake region of Alberta benefiting from premium pricing and a massive proven resource. Strathcona focuses on responsible and efficient heavy oil development.","Suite 1200, 215 - 9th Avenue SW, Calgary, Alberta T2P 1K3, Canada"
Suncor Energy Inc.,https://www.suncor.com/,"Suncor Energy Inc. is a globally competitive integrated energy company headquartered in Calgary, Alberta. The company extracts, produces and provides energy from a mix of sources including oil sands, conventional oil and gas, renewable fuels, and operates refineries and retail fuel stations. Suncor is one of Canada's largest energy companies committed to sustainable energy development.","P.O. Box 2844, 150 - 6th Avenue SW, Calgary, Alberta T2P 3E3, Canada"
Surge Energy Inc.,https://www.surgeenergy.ca/,"Surge Energy Inc. is an oil-focused exploration and production company with a high-quality crude oil reserve, production and cash flow base. The company operates premier oil assets in Western Canada focused on driving free cash flow generation. Surge emphasizes operational efficiency and sustainable development.","Suite 1200, Centennial Place - East Tower, 520 - 3rd Avenue SW, Calgary, Alberta T2P 0R3, Canada"
Tamarack Valley Energy Ltd.,https://www.tamarackvalley.ca/,"Tamarack Valley Energy Ltd. is a Canadian oil and gas company with a long-term strategic focus on responsible, value-driven energy development. The company develops repeatable, predictable and economic long-life resource plays. Tamarack emphasizes free funds flow generation, shareholder returns and environmental responsibility.","Suite 2100, 525 - 8th Avenue SW, Calgary, Alberta T2P 1G1, Canada"
Tenaz Energy Corp.,https://www.tenazenergy.com/,"Tenaz Energy Corp. is the largest operator of natural gas assets in the Dutch sector of the North Sea and develops crude oil and natural gas at Leduc-Woodbend in Alberta. The company focuses on low-risk, high-return energy assets. Tenaz operates internationally with operations in Canada and the Netherlands.","Suite 700, 605 - 5th Avenue SW, Calgary, Alberta T2P 3H5, Canada"
Topaz Energy Corp.,https://www.topazenergy.ca/,"Topaz Energy Corp. is a Canadian royalty and infrastructure energy company focused on providing shareholders with a reliable, growing dividend and future option value. The company acquires royalty interests and infrastructure assets in the Canadian energy sector. Topaz emphasizes sustainable growth and consistent returns.","2900, 250 - 6th Avenue SW, Calgary, Alberta T2P 3H7, Canada"
Touchstone Exploration Inc.,https://www.touchstoneexploration.com/,"Touchstone Exploration Inc. is an innovative and dynamic company engaged in the complete exploration, development, and production lifecycle of oil and gas resources. The company operates primarily in Trinidad and Tobago. Touchstone is headquartered in Calgary with a focus on international oil and gas development.","Suite 4100, 350 - 7th Avenue SW, Calgary, Alberta T2P 3N9, Canada"
Tourmaline Oil Corp.,https://www.tourmalineoil.com/,"Tourmaline Oil Corp. is Canada's largest natural gas producer focused on long-term growth through an active exploration, development, production and acquisition program. The company is a senior oil and natural gas exploration and production company with operations primarily in the Alberta Deep Basin and Peace River High areas. Tourmaline emphasizes operational excellence and value creation.","2900, 250 - 6th Avenue SW, Calgary, Alberta T2P 3H7, Canada"
Valeura Energy Inc.,https://www.valeuraenergy.com/,"Valeura Energy Inc. is a Canadian company engaged in the exploration, development and production of petroleum and natural gas in Thailand. The company focuses on conventional oil and gas development in Southeast Asia. Valeura was ranked No. 1 of Canada's Top Growing Companies and maintains offices in Calgary and Singapore.","Suite 685, 404 - 6th Avenue SW, Calgary, Alberta T2P 0R9, Canada"
Vermilion Energy Inc.,https://www.vermilionenergy.com/,"Vermilion Energy Inc. is a global gas producer that seeks to create value through the acquisition, exploration and development of liquids-rich natural gas in Canada and Europe. The company operates in Canada, the United States, France, the Netherlands, Germany and Australia. Vermilion is headquartered in Calgary with a focus on sustainable energy development.","3500, 520 - 3rd Avenue SW, Calgary, Alberta T2P 0R3, Canada"
Whitecap Resources Inc.,https://www.wcap.ca/,"Whitecap Resources Inc. is a leading Canadian energy company committed to delivering reliable returns to shareholders through the responsible development of oil and gas assets. The company focuses on sustainable free funds flow generation and operational excellence. Whitecap operates primarily in Western Canada with assets in Alberta, Saskatchewan and British Columbia.","3800, 525 - 8th Avenue SW, Eighth Avenue Place East Tower, Calgary, Alberta T2P 1G1, Canada"
Yangarra Resources Ltd.,https://www.yangarra.ca/,"Yangarra Resources Ltd. is a Canadian junior oil and gas company engaged in the exploration, development and production of clean natural gas and conventional oil. The company focuses on the Cardium play in central Alberta. Yangarra emphasizes maximizing shareholder returns while adhering to core values of integrity and environmental stewardship.","Suite 1530, 715 - 5th Avenue SW, Calgary, Alberta T2P 2X6, Canada"
Zenith Energy Ltd.,https://zenithenergy.ca/,"Zenith Energy Ltd. is a forward-looking energy production company with a strategic focus on electricity production and other critical energy sources. The company has operations in North Africa and the United States with a focus on renewable energy, especially solar. Zenith is engaged in arbitration proceedings regarding assets in Tunisia.","Suite 1500, 15th Floor, Bankers Court, 850 - 2nd Street SW, Calgary, Alberta T2P 0R8, Canada"
